Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
31455daa-7058-5a72-9531-bfe5b5aee0f1_7,3,2,3.1225022567582515e-17,2
6b3f0281-4dc0-51c6-9264-ef3ff6ec80f8_2,2,0,-1.7347234759768065e-17,2
6b3f0281-4dc0-51c6-9264-ef3ff6ec80f8_4,1,1,0.0,2
6b3f0281-4dc0-51c6-9264-ef3ff6ec80f8_5,2,0,6.418476861114184e-17,2
4c797ad8-3bae-566d-b661-baacd56dd75a_6,1,0,1.7347234759768063e-18,2
31e0bfe7-2317-5d46-9a67-297fcb3bead1_1,0,4,-1.7347234759768063e-18,52
31e0bfe7-2317-5d46-9a67-297fcb3bead1_2,1,0,-3.4694469519536126e-18,52
31e0bfe7-2317-5d46-9a67-297fcb3bead1_3,1,0,-1.387778780781445e-17,52
31e0bfe7-2317-5d46-9a67-297fcb3bead1_4,1,0,3.4694469519536126e-18,52
31e0bfe7-2317-5d46-9a67-297fcb3bead1_5,3,0,0.0,52
17d9e390-4e66-5496-85c6-06f0e9a41e23_1,0,2,-6.938893903907225e-18,3
5387124b-f316-51c2-bc01-622ebcb88db4_2,0,0,-6.938893903907225e-18,53
21ddbbee-38d7-50e1-86bd-23d93db8c120_6,1,0,-6.938893903907226e-17,2
42c321af-9076-533b-8edc-84d8b4b9f161_5,1,0,6.938893903907225e-18,54
0b520a84-a3fa-5240-851f-a70c8fb39f62_1,0,2,0.0,55
0b520a84-a3fa-5240-851f-a70c8fb39f62_2,1,1,1.387778780781445e-17,55
0b520a84-a3fa-5240-851f-a70c8fb39f62_4,1,0,1.387778780781445e-17,55
66c5f79b-8686-503c-8f1e-4bbc421cf5e1_7,1,1,-1.0408340855860838e-17,56
66c5f79b-8686-503c-8f1e-4bbc421cf5e1_8,2,0,-1.1275702593849241e-17,56
1ca1adf5-d7b8-5dd7-aec0-ab622debcb4a_1,0,0,-6.938893903907225e-18,57
414f61de-1d59-574f-a3c4-cb9cb5050e09_8,0,0,-1.7347234759768063e-18,58
2c01c03f-c655-55a9-92e8-908447baf800_8,1,2,-1.0408340855860838e-17,2
64545c8e-f727-52a4-8edc-11c81f6de74d_6,1,0,-5.030698080332738e-17,2
2c01c03f-c655-55a9-92e8-908447baf800_1,1,2,-4.163336342344335e-17,2
21058514-5c4c-5a57-917f-42dc9187ced7_5,1,3,-3.4694469519536126e-18,2
04d38c99-e656-5e79-8afe-30b56b6a4ccc_3,0,0,-6.938893903907225e-18,59
6710e490-431f-55f3-8f92-754111182e71_4,0,2,-6.938893903907225e-18,60
6710e490-431f-55f3-8f92-754111182e71_13,1,0,-2.0816681711721676e-17,60
6710e490-431f-55f3-8f92-754111182e71_9,1,1,-1.5612511283791258e-17,60
2458859c-0bf5-5acb-8515-de3ec9198e49_2,1,1,5.55111512312578e-17,2
6b3f0281-4dc0-51c6-9264-ef3ff6ec80f8_3,2,0,7.112366251504905e-17,2
09ae1f26-6c5e-5c34-a300-e0e95c8f2bb3_4,1,0,2.0816681711721676e-17,2
1acef9cc-ddfd-5116-ab0a-8a008af8186a_15,0,0,6.938893903907225e-18,61
600b3d23-7444-5e47-a5c2-5909027b5fd9_7,0,0,-6.938893903907225e-18,62
0e539e66-09b7-594d-9935-6c06e4830a39_8,1,0,-8.673617379884032e-19,2
33d63940-9b9f-5374-a78e-2f2fd996324d_6,1,0,-6.938893903907225e-18,63
64e0d62e-8a9d-5a9b-855a-df8941539688_3,1,0,1.5612511283791258e-17,2
304d1096-b5fc-5b11-abe9-f1f78735afde_3,1,0,1.7347234759768065e-17,64
5117473c-c871-5ae4-a815-7cddc7d915be_1,0,3,0.0,65
5117473c-c871-5ae4-a815-7cddc7d915be_2,1,2,-1.0408340855860838e-17,65
5117473c-c871-5ae4-a815-7cddc7d915be_3,2,1,-2.0816681711721676e-17,65
5117473c-c871-5ae4-a815-7cddc7d915be_4,2,0,-3.686287386450713e-17,65
05afd37e-b223-544b-9eb1-6486f7adac34_6,1,0,0.0,3
0e194beb-d2b1-584c-8ccc-be828c361996_6,1,1,-6.522560269672792e-16,35
0e194beb-d2b1-584c-8ccc-be828c361996_1,4,1,-4.996003610813202e-16,35
0e194beb-d2b1-584c-8ccc-be828c361996_5,2,2,-8.881784197001248e-16,35
0e194beb-d2b1-584c-8ccc-be828c361996_7,1,1,-6.661338147750936e-16,35
1b63467c-024e-5c4d-a9c9-6f9a303be9e0_2,1,0,3.469446951953613e-17,55
3a297153-6ae3-5a4f-9c12-c8fc24e63ade_7,0,2,-3.4694469519536126e-18,66
47ecafb2-9554-59f7-a920-cb4fbbde05fb_2,1,1,1.0408340855860838e-17,66
47ecafb2-9554-59f7-a920-cb4fbbde05fb_3,2,0,3.469446951953613e-17,66
016965b7-2511-5a9b-adb1-f5b9415c6903_1,0,4,1.387778780781445e-17,67
40a6f598-893f-5a92-8606-9cfa0a9e4437_2,1,0,6.938893903907225e-18,67
40a6f598-893f-5a92-8606-9cfa0a9e4437_3,1,0,2.428612866367529e-17,67
016965b7-2511-5a9b-adb1-f5b9415c6903_2,2,1,3.7079714299004233e-17,67
53820cc0-a34a-5851-9a78-71032f22fed7_2,1,1,2.0816681711721676e-17,67
1aa793cd-f09d-5a4e-8946-5b7b60e71f42_5,0,1,2.168404344971008e-19,2
1aa793cd-f09d-5a4e-8946-5b7b60e71f42_2,2,1,-6.938893903907225e-18,2
62f60b41-ad4b-5013-a1c9-9c7ec64ac807_8,1,2,0.10764857839887067,2
62f60b41-ad4b-5013-a1c9-9c7ec64ac807_2012,1,0,0.06084273079063543,2
62f60b41-ad4b-5013-a1c9-9c7ec64ac807_2020,1,0,0.060842730790635444,2
