Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
2acaf432-a7ee-5ac5-9ed9-27907cacaea1_1,0,3,6.938893903907228e-18,36
2acaf432-a7ee-5ac5-9ed9-27907cacaea1_2,1,0,-1.3877787807814457e-17,36
31455daa-7058-5a72-9531-bfe5b5aee0f1_7,1,0,-4.163336342344337e-17,4
06e6ddd6-9d30-5875-a0ca-fe4b4763da99_2,0,1,-2.7755575615628914e-17,46
06e6ddd6-9d30-5875-a0ca-fe4b4763da99_5,4,0,2.7755575615628914e-17,46
c5239a57-f27e-502a-a4fd-fb37c883317b_9,1,0,1.0408340855860843e-16,25
ce74d48e-be27-5096-8c57-f89a6a724ccf_8,0,1,0.0,20
19d200ca-fb01-5f04-9f17-4e7cff621e08_1,0,2,1.3877787807814457e-17,16
19d200ca-fb01-5f04-9f17-4e7cff621e08_4,3,0,-1.3877787807814457e-17,16
19d200ca-fb01-5f04-9f17-4e7cff621e08_5,2,0,-2.7755575615628914e-17,16
06e6ddd6-9d30-5875-a0ca-fe4b4763da99_4,0,1,-1.734723475976807e-18,46
19f7b22e-bbc8-5536-b2fd-49035b599ea4_1,0,1,0.0,47
19f7b22e-bbc8-5536-b2fd-49035b599ea4_3,2,0,1.3877787807814457e-17,47
4985d0da-256e-5172-8c5f-0ec156d0a94e_3,0,0,-6.938893903907228e-18,48
c5239a57-f27e-502a-a4fd-fb37c883317b_10,1,0,9.71445146547012e-17,25
14a4c38b-558f-5658-a87f-bd0d5b4acdcb_3,1,0,-4.163336342344337e-17,27
3ed53e18-1d60-5384-8cc6-eb29ad04a92d_2,0,0,6.938893903907228e-18,49
bdea7d33-46f5-51fc-95ad-0be9911092f3_2,1,0,-2.7755575615628914e-17,35
c5239a57-f27e-502a-a4fd-fb37c883317b_3,1,3,-2.0816681711721685e-17,25
683fcdec-a977-5367-8583-1828acabc83a_4,2,2,1.0408340855860843e-17,14
683fcdec-a977-5367-8583-1828acabc83a_6,1,0,8.326672684688674e-17,14
5285287c-3372-5e34-a3f5-65739fa845d9_5,1,1,0.0,18
4a2a7a8b-1c0a-5c62-a609-153deb83060b_2,1,0,-1.249000902703301e-16,1
844714f3-caa4-5c61-b746-6fda9d09828b_5,0,1,4.163336342344337e-17,3
